Flux1,Flux2,Flux3,Flux4,Flux5,Flux6,Flux7,Flux8,Flux9,Flux10,Flux11,Flux12,Time,Depths,Mstats
0.6736968862655264,0.7015092063488269,0.7302145212072437,0.7613095051072034,0.7922421422046798,0.8250677308257776,0.8600993253471676,0.8920567094553824,0.9265735250339376,0.9606219931788588,0.9937475726206972,0.9992260893813968,19.812165502116386,,
0.6819110654316198,0.7095094962016746,0.7379276838419164,0.7687112024084941,0.79932362759636,0.8317744594608663,0.8663170200546053,0.8977876634111248,0.9316879513274716,0.9648803546457864,0.9965970731580543,1.0010995976393413,19.832998232952605,,
0.6885951628515499,0.715986299503507,0.7441279185986109,0.7746031926497565,0.8048857676843233,0.8369315407750892,0.8710018792771342,0.9019666933963448,0.935260921971354,0.9676106694398428,0.9978964530126064,1.0014762385821665,19.85383096242708,,
0.6976312049223599,0.7248217434121176,0.7527024700231341,0.7828721618579338,0.812815608193378,0.8444327023114258,0.8780658293245642,0.9084795236630049,0.9411586286198441,0.9726818348556868,1.0014035707475262,1.004184689053231,19.874663690708985,,
0.6996159097148325,0.7265803374961872,0.7542198982563795,0.7840920526100293,0.8136916070962976,0.8448810225643177,0.8780979534671343,0.9079520517208188,0.9400178647386088,0.9707074591887512,0.9978422768465028,0.9997530807326072,19.89549641797521,,
0.7126632655566829,0.7393774254441954,0.7667646247288741,0.7963520274259892,0.8256080311163071,0.8563716809577109,0.8891941055671704,0.9184785005154228,0.9499298831656598,0.979795359272752,1.0053387466009711,1.006405416764963,19.916329144413798,,
0.7141434871942931,0.7405894265223124,0.7677077870879431,0.7970105166208739,0.825920753664825,0.8562716394722611,0.8886936388862149,0.9174116048189144,0.9482217815818856,0.9772382013024572,1.0010624166354074,1.0015131922342566,19.937161870220507,,
0.7201333806922074,0.746298637104466,0.7731310343989206,0.8021496486430149,0.8307178067350036,0.8606686429978664,0.8926450276170047,0.9208335839281078,0.9509711904906782,0.9791054680366698,1.0008640604464891,1.0011564684808736,19.957994595590208,,
0.7351734911897816,0.7610630326679255,0.7875953725611482,0.8163297955340115,0.8445689616925136,0.8741152175876798,0.9056239114169576,0.9333011140625416,0.962758090443074,0.9900318609000468,1.0097376216403746,1.0098789223739753,19.978827320717073,,
0.7350267266135075,0.7606571072300309,0.7868919312022243,0.8153350293529948,0.8432448449399117,0.8723835734783988,0.9034251636061796,0.930597912028756,0.9593742064951196,0.9857772416119924,1.003427188836638,1.0034475798582907,19.999660045793007,,
0.7446410001922157,0.7700379093396215,0.795982561825646,0.8241260341509554,0.8517016785921575,0.8804271145687732,0.9109799981106556,0.9376398790634068,0.9657209461195312,0.9912173461101657,1.0068257399688012,1.0068257399688012,20.020492771002182,,
0.7454344834291158,0.7706116380738538,0.7962850526629881,0.8241188268224939,0.8513408871082544,0.8796380819370327,0.9097113524920514,0.9358300595457929,0.9632141008102868,0.9877475611873,1.0014433223287071,1.0014433223287071,20.04132549651649,,
0.7558243519521037,0.7807675314972826,0.8061841838703985,0.8336965369123626,0.8605516440107318,0.8884384165212064,0.91802506634646,0.9436349569328348,0.9703256309335101,0.99390343019471,1.005707196137822,1.005707196137822,20.06215822249328,,
0.7619645688096396,0.7866582856413413,0.8118303959890915,0.8390137785917663,0.8655046652495262,0.8930197770686721,0.9220976361332288,0.9472200940525308,0.9732213636976088,0.9958312504614482,1.0057709547469438,1.0057709547469438,20.08299094907602,,
0.7669201960459789,0.7913476880884291,0.8162828569641054,0.8431415888240672,0.8692838420858995,0.8964270300750199,0.9249992855587642,0.9496129003664264,0.9749058621512848,0.9964831900272018,1.004690039687496,1.004690039687496,20.103823676389087,,
0.7747604759776952,0.7989189090883432,0.8236050362374089,0.8501383042756302,0.8759290204006536,0.9026995658038056,0.9307303009433724,0.954809788843834,0.979360544369,0.999863137939214,1.0065191140787342,1.0065191140787342,20.124656404534107,,
0.7853327314001417,0.8092274526940151,0.8336455985382987,0.8598475866772083,0.8852845658698831,0.9116497991687404,0.9391439441944324,0.9626671865292276,0.9865135978546417,1.0059779716770312,1.0111075114271375,1.0111075114271375,20.145489133589987,,
0.7819211574756106,0.8055628103389271,0.8296993499603366,0.8555645035527807,0.8806372618357946,0.9065760179050224,0.9335777178535164,0.9565615884856092,0.9797034517472312,0.9981143184051288,1.001751999218747,1.001751999218747,20.166321863611984,,
0.7908967613936799,0.8142922150050307,0.8381533134821775,0.8636774773246143,0.8883810855889669,0.9139169723853192,0.940435813369776,0.962868921335912,0.9852677279512648,1.002476421309374,1.0048425847751965,1.0048425847751965,20.187154594632602,,
0.7945563394898398,0.8177019364650713,0.8413036006948443,0.8664879803590847,0.8908352336800676,0.9159628006237334,0.9420010882566904,0.9638343402679947,0.9854012097785144,1.0011304599673454,1.002676285551943,1.002676285551943,20.207987326655253,,
0.8006765740383113,0.8235696754136143,0.8469269874782095,0.8717797352570182,0.8957546456900753,0.920461361283508,0.9459750824342792,0.9671823219298354,0.9879100483200636,1.0020806170914422,1.0030269866930694,1.0030269866930694,20.228820059657444,,
0.8063905050293937,0.8290293427594138,0.8521320499377356,0.8766358495330694,0.9002333904188033,0.9245018797496836,0.9494814287221356,0.9700980985558808,0.9900190451481476,1.002633309828604,1.0030078919945045,1.0030078919945045,20.24965279359526,,
0.8121233357626201,0.8345009725411427,0.8573119928239641,0.8814582775438197,0.904693184673958,0.928491859519148,0.9529856440640666,0.9730368543341088,0.9921341330776884,1.0030243599878237,1.0030286142738918,1.0030286142738918,20.270485528395284,,
0.8229692153223311,0.8450786337661715,0.8675646574255291,0.8913549464119873,0.9142490320239508,0.9375858409815536,0.9615966587485076,0.9810527519291428,0.9992382628195836,1.0081877106488133,1.0081877106488133,1.0081877106488133,20.29131826396565,,
0.8259700487108439,0.8478066585317967,0.8699553377203333,0.8933995617440654,0.915973458918269,0.9388496147144147,0.962340280740892,0.9811330092133524,0.9983136878275995,1.005547410092331,1.005547410092331,1.005547410092331,20.31215100018835,,
0.8317901549641479,0.8533562886473388,0.8751781001979065,0.898295133514745,0.9205449925717522,0.9429352844823884,0.9658265342854186,0.9839562227389824,1.0001965145931755,1.0057981634717632,1.0057981634717632,1.0057981634717632,20.332983736927872,,
0.8346856911886854,0.8559890151914286,0.8775038842989925,0.9002998042080155,0.922163127896152,0.9440756155131051,0.9663402075141528,0.9838807506896532,0.9992132288949344,1.0031964328646434,1.0031964328646434,1.0031964328646434,20.353816474033014,,
0.8417930727967518,0.8628497105084667,0.8840550567461127,0.90649219534641,0.9279520427553976,0.949393404904956,0.9710643430547532,0.9880466624520584,1.0023748873337759,1.0048631875968006,1.0048631875968006,1.0048631875968006,20.37464921133437,,
0.8460173168838502,0.8668171604563621,0.8876905873703406,0.9097528951729652,0.9308136227048038,0.9518316998264066,0.9729215100446706,0.9892509808459008,1.0022539021408885,1.0036771860801526,1.0036771860801526,1.0036771860801526,20.39548194865347,,
0.8514109854913566,0.8719370603978889,0.8924632990232716,0.9141499221823756,0.9348260395518012,0.9554353333336298,0.9759078983922,0.9914250124960384,1.0027953710331736,1.003690903780952,1.003690903780952,1.003690903780952,20.41631468580067,,
0.8561326509012815,0.8763600420504536,0.8965482450010211,0.9178693417121568,0.9381804976490108,0.9583218040117109,0.9781163502947299,0.9927763550434782,1.0025906718498867,1.0030752559737872,1.0030752559737872,1.0030752559737872,20.437147422582942,,
0.859691226477355,0.8796108033787333,0.8995003213706521,0.9204793744770174,0.9403684700437144,0.9599918347043044,0.9791074154932456,0.9929950675026776,1.0012444398610232,1.001376237108396,1.001376237108396,1.001376237108396,20.457980158804506,,
0.8681243933052173,0.8877462929561113,0.9073836076562841,0.9279784897565152,0.9474142222379484,0.9664974682654855,0.9850186961217636,0.9981477732688336,1.0046386578884847,1.0046386578884847,1.0046386578884847,1.0046386578884847,20.47881289427028,,
0.8788260359379378,0.898182155264287,0.9175409466808309,0.9377236108228824,0.9566936002426809,0.9752901684335576,0.9932449698319764,1.0054859209218892,1.0102415279578203,1.0102415279578203,1.0102415279578203,1.0102415279578203,20.499645628789263,,
0.8751111146409574,0.8942023292168509,0.9132461211443236,0.9330010125407896,0.9515429686686784,0.9696734080392716,0.9869899041725976,0.9981099602620606,1.0014743267430135,1.0014743267430135,1.0014743267430135,1.0014743267430135,20.520478362179574,,
0.8814675682636541,0.9002862377265813,0.9189801692195744,0.938312892262105,0.956485114396767,0.9740867337330846,0.9906289064579208,1.0005248985262716,1.0028217835115858,1.0028217835115858,1.0028217835115858,1.0028217835115858,20.541311094270668,,
0.8868617835638143,0.9053622073101204,0.9237128811353792,0.9426755869225264,0.960438497758552,0.9774121059063012,0.9931355362108808,1.001884718527067,1.0032477183066988,1.0032477183066988,1.0032477183066988,1.0032477183066988,20.56214382490407,,
